Code,region,year,meanConsumptionPerHousehold,,,,,,,,,,,,,,,,,,,,
K03000001,Great Britain (inc unallocated),2020,3955.20,,,,,,,,,,,,,,,,,,,,
K03000001,Great Britain (inc unallocated),2019,3770.23,,,,,,,,,,,,,,,,,,,,
K03000001,Great Britain (inc unallocated),2018,3810.98,,,,,,,,,,,,,,,,,,,,
K03000001,Great Britain (inc unallocated),2017,3929.21,,,,,,,,,,,,,,,,,,,,
K03000001,Great Britain (inc unallocated),2016,3978.04,,,,,,,,,,,,,,,,,,,,
K04000002,England and Wales (inc unallocated),2020,3950.60,,,,,,,,,,,,,,,,,,,,
K04000002,England and Wales (inc unallocated),2019,3761.50,,,,,,,,,,,,,,,,,,,,
K04000002,England and Wales (inc unallocated),2018,3799.74,,,,,,,,,,,,,,,,,,,,
K04000002,England and Wales (inc unallocated),2017,3912.07,,,,,,,,,,,,,,,,,,,,
K04000002,England and Wales (inc unallocated),2016,3958.59,,,,,,,,,,,,,,,,,,,,
E92000001,England,2020,3961.76,,,,,,,,,,,,,,,,,,,,
E92000001,England,2019,3770.12,,,,,,,,,,,,,,,,,,,,
E92000001,England,2018,3809.19,,,,,,,,,,,,,,,,,,,,
E92000001,England,2017,3922.15,,,,,,,,,,,,,,,,,,,,
E92000001,England,2016,3967.99,,,,,,,,,,,,,,,,,,,,
E12000001,North East,2020,3359.60,,,,,,,,,,,,,,,,,,,,
E12000001,North East,2019,3205.02,,,,,,,,,,,,,,,,,,,,
E12000001,North East,2018,3234.27,,,,,,,,,,,,,,,,,,,,
E12000001,North East,2017,3353.61,,,,,,,,,,,,,,,,,,,,
E12000001,North East,2016,3444.56,,,,,,,,,,,,,,,,,,,,
E12000002,North West,2020,3733.80,,,,,,,,,,,,,,,,,,,,
E12000002,North West,2019,3550.24,,,,,,,,,,,,,,,,,,,,
E12000002,North West,2018,3589.14,,,,,,,,,,,,,,,,,,,,
E12000002,North West,2017,3719.61,,,,,,,,,,,,,,,,,,,,
E12000002,North West,2016,3761.15,,,,,,,,,,,,,,,,,,,,
