Code,region,meanConsumptionPerHousehold,,,,,,,,,,,,,,,,,,,,,"Mean domestic
consumption
(kWh per household)"
K03000001,Great Britain (inc unallocated),"3,955.20",,,,,,,,,,,,,,,,,,,,,"3,955.20"
K04000001,England and Wales (inc unallocated),"3,950.60",,,,,,,,,,,,,,,,,,,,,"3,950.60"
E92000001,England,"3,961.80",,,,,,,,,,,,,,,,,,,,,"3,961.80"
E12000001,North East,"3,359.60",,,,,,,,,,,,,,,,,,,,,"3,359.60"
E12000002,North West,"3,733.80",,,,,,,,,,,,,,,,,,,,,"3,733.80"
E12000003,Yorkshire and The Humber,"3,670.20",,,,,,,,,,,,,,,,,,,,,"3,670.20"
E12000004,East Midlands,"3,923.50",,,,,,,,,,,,,,,,,,,,,"3,923.50"
E12000005,West Midlands,"3,891.30",,,,,,,,,,,,,,,,,,,,,"3,891.30"
E12000006,East,"4,368.50",,,,,,,,,,,,,,,,,,,,,"4,368.50"
E12000007,London,"3,701.40",,,,,,,,,,,,,,,,,,,,,"3,701.40"
E13000001,Inner London,"3,446.20",,,,,,,,,,,,,,,,,,,,,"3,446.20"
E13000002,Outer London,"3,892.00",,,,,,,,,,,,,,,,,,,,,"3,892.00"
E12000008,South East,"4,326.70",,,,,,,,,,,,,,,,,,,,,"4,326.70"
E12000009,South West,"4,303.70",,,,,,,,,,,,,,,,,,,,,"4,303.70"
W92000004,Wales,"3,705.10",,,,,,,,,,,,,,,,,,,,,"3,705.10"
S92000003,Scotland (inc unallocated),"4,001.20",,,,,,,,,,,,,,,,,,,,,"4,001.20"
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"3,231.40"
,,,,,,,,,,,,,,,,,,,,,,,"3,405.10"
,,,,,,,,,,,,,,,,,,,,,,,"3,236.70"
,,,,,,,,,,,,,,,,,,,,,,,"3,454.90"
,,,,,,,,,,,,,,,,,,,,,,,"3,581.80"
,,,,,,,,,,,,,,,,,,,,,,,"3,319.60"
,,,,,,,,,,,,,,,,,,,,,,,"3,897.90"
,,,,,,,,,,,,,,,,,,,,,,,"3,332.30"
,,,,,,,,,,,,,,,,,,,,,,,"3,189.70"
,,,,,,,,,,,,,,,,,,,,,,,"2,982.40"
,,,,,,,,,,,,,,,,,,,,,,,"3,226.50"
,,,,,,,,,,,,,,,,,,,,,,,"3,197.60"
,,,,,,,,,,,,,,,,,,,,,,,"3,421.70"
,,,,,,,,,,,,,,,,,,,,,,,"3,586.30"
,,,,,,,,,,,,,,,,,,,,,,,"3,705.70"
,,,,,,,,,,,,,,,,,,,,,,,"3,786.40"
,,,,,,,,,,,,,,,,,,,,,,,"4,273.30"
,,,,,,,,,,,,,,,,,,,,,,,"3,959.90"
,,,,,,,,,,,,,,,,,,,,,,,"4,070.20"
,,,,,,,,,,,,,,,,,,,,,,,"3,416.80"
,,,,,,,,,,,,,,,,,,,,,,,"3,901.70"
,,,,,,,,,,,,,,,,,,,,,,,"4,204.40"
,,,,,,,,,,,,,,,,,,,,,,,"5,222.30"
,,,,,,,,,,,,,,,,,,,,,,,"4,867.90"
,,,,,,,,,,,,,,,,,,,,,,,"3,568.40"
,,,,,,,,,,,,,,,,,,,,,,,"3,770.30"
,,,,,,,,,,,,,,,,,,,,,,,"4,053.10"
,,,,,,,,,,,,,,,,,,,,,,,"3,407.70"
,,,,,,,,,,,,,,,,,,,,,,,"3,838.80"
,,,,,,,,,,,,,,,,,,,,,,,"3,507.10"
,,,,,,,,,,,,,,,,,,,,,,,"3,824.20"
,,,,,,,,,,,,,,,,,,,,,,,"4,495.20"
,,,,,,,,,,,,,,,,,,,,,,,"3,839.40"
,,,,,,,,,,,,,,,,,,,,,,,"3,786.50"
,,,,,,,,,,,,,,,,,,,,,,,"4,160.50"
,,,,,,,,,,,,,,,,,,,,,,,"3,905.80"
,,,,,,,,,,,,,,,,,,,,,,,"3,635.90"
,,,,,,,,,,,,,,,,,,,,,,,"3,691.80"
,,,,,,,,,,,,,,,,,,,,,,,"3,803.40"
,,,,,,,,,,,,,,,,,,,,,,,"3,468.60"
,,,,,,,,,,,,,,,,,,,,,,,"3,518.60"
,,,,,,,,,,,,,,,,,,,,,,,"3,920.00"
,,,,,,,,,,,,,,,,,,,,,,,"3,820.70"
,,,,,,,,,,,,,,,,,,,,,,,"3,483.50"
,,,,,,,,,,,,,,,,,,,,,,,"3,954.40"
,,,,,,,,,,,,,,,,,,,,,,,"3,460.90"
,,,,,,,,,,,,,,,,,,,,,,,"3,466.60"
,,,,,,,,,,,,,,,,,,,,,,,"3,182.30"
,,,,,,,,,,,,,,,,,,,,,,,"3,405.30"
,,,,,,,,,,,,,,,,,,,,,,,"3,604.30"
,,,,,,,,,,,,,,,,,,,,,,,"3,522.60"
,,,,,,,,,,,,,,,,,,,,,,,"3,322.90"
,,,,,,,,,,,,,,,,,,,,,,,"4,023.20"
,,,,,,,,,,,,,,,,,,,,,,,"3,486.30"
,,,,,,,,,,,,,,,,,,,,,,,"3,622.30"
,,,,,,,,,,,,,,,,,,,,,,,"3,674.10"
,,,,,,,,,,,,,,,,,,,,,,,"4,426.00"
,,,,,,,,,,,,,,,,,,,,,,,"4,434.90"
,,,,,,,,,,,,,,,,,,,,,,,"4,478.20"
,,,,,,,,,,,,,,,,,,,,,,,"4,483.40"
,,,,,,,,,,,,,,,,,,,,,,,"4,586.90"
,,,,,,,,,,,,,,,,,,,,,,,"4,015.10"
,,,,,,,,,,,,,,,,,,,,,,,"4,278.80"
,,,,,,,,,,,,,,,,,,,,,,,"3,362.30"
,,,,,,,,,,,,,,,,,,,,,,,"3,524.10"
