Code,region,householdsize,total,year
K03000001,Great Britain (inc unallocated),One person,8016,2020
K03000001,Great Britain (inc unallocated),One person,7962,2019
K03000001,Great Britain (inc unallocated),One person,7752,2018
K03000001,Great Britain (inc unallocated),One person,7473,2017
K03000001,Great Britain (inc unallocated),One person,7445,2016
K03000001,Great Britain (inc unallocated),Two people,9244,2020
K03000001,Great Britain (inc unallocated),Two people,9362,2019
K03000001,Great Britain (inc unallocated),Two people,9263,2018
K03000001,Great Britain (inc unallocated),Two people,9142,2017
K03000001,Great Britain (inc unallocated),Two people,9190,2016
K03000001,Great Britain (inc unallocated),Three people,4192,2020
K03000001,Great Britain (inc unallocated),Three people,4157,2019
K03000001,Great Britain (inc unallocated),Three people,4251,2018
K03000001,Great Britain (inc unallocated),Three people,4361,2017
K03000001,Great Britain (inc unallocated),Three people,4251,2016
K03000001,Great Britain (inc unallocated),Four people,3993,2020
K03000001,Great Britain (inc unallocated),Four people,3778,2019
K03000001,Great Britain (inc unallocated),Four people,3755,2018
K03000001,Great Britain (inc unallocated),Four people,3660,2017
K03000001,Great Britain (inc unallocated),Four people,3734,2016
K03000001,Great Britain (inc unallocated),Five people,1190,2020
K03000001,Great Britain (inc unallocated),Five people,1171,2019
K03000001,Great Britain (inc unallocated),Five people,1246,2018
K03000001,Great Britain (inc unallocated),Five people,1242,2017
K03000001,Great Britain (inc unallocated),Five people,1224,2016
K03000001,Great Britain (inc unallocated),Six or more People,525,2020
K03000001,Great Britain (inc unallocated),Six or more People,549,2019
K03000001,Great Britain (inc unallocated),Six or more People,525,2018
K03000001,Great Britain (inc unallocated),Six or more People,590,2017
K03000001,Great Britain (inc unallocated),Six or more People,511,2016
K04000001,England and Wales (inc unallocated),One person,7140,2020
K04000001,England and Wales (inc unallocated),One person,7089,2019
K04000001,England and Wales (inc unallocated),One person,6918,2018
K04000001,England and Wales (inc unallocated),One person,6693,2017
K04000001,England and Wales (inc unallocated),One person,6704,2016
K04000001,England and Wales (inc unallocated),Two people,8381,2020
K04000001,England and Wales (inc unallocated),Two people,8479,2019
K04000001,England and Wales (inc unallocated),Two people,8433,2018
K04000001,England and Wales (inc unallocated),Two people,8253,2017
K04000001,England and Wales (inc unallocated),Two people,8332,2016
K04000001,England and Wales (inc unallocated),Three people,3877,2020
K04000001,England and Wales (inc unallocated),Three people,3804,2019
K04000001,England and Wales (inc unallocated),Three people,3897,2018
K04000001,England and Wales (inc unallocated),Three people,3975,2017
K04000001,England and Wales (inc unallocated),Three people,3859,2016
K04000001,England and Wales (inc unallocated),Four people,3696,2020
K04000001,England and Wales (inc unallocated),Four people,3501,2019
K04000001,England and Wales (inc unallocated),Four people,3453,2018
K04000001,England and Wales (inc unallocated),Four people,3393,2017
K04000001,England and Wales (inc unallocated),Four people,3456,2016
K04000001,England and Wales (inc unallocated),Five people,1108,2020
K04000001,England and Wales (inc unallocated),Five people,1135,2019
K04000001,England and Wales (inc unallocated),Five people,1158,2018
K04000001,England and Wales (inc unallocated),Five people,1168,2017
K04000001,England and Wales (inc unallocated),Five people,1139,2016
K04000001,England and Wales (inc unallocated),Six or more People,486,2020
K04000001,England and Wales (inc unallocated),Six or more People,518,2019
K04000001,England and Wales (inc unallocated),Six or more People,499,2018
K04000001,England and Wales (inc unallocated),Six or more People,561,2017
K04000001,England and Wales (inc unallocated),Six or more People,488,2016
E92000001,England,One person,6725,2020
E92000001,England,One person,6648,2019
E92000001,England,One person,6530,2018
E92000001,England,One person,6300,2017
E92000001,England,One person,6301,2016
E92000001,England,Two people,7889,2020
E92000001,England,Two people,8019,2019
E92000001,England,Two people,7930,2018
E92000001,England,Two people,7771,2017
E92000001,England,Two people,7847,2016
E92000001,England,Three people,3694,2020
E92000001,England,Three people,3584,2019
E92000001,England,Three people,3696,2018
E92000001,England,Three people,3768,2017
E92000001,England,Three people,3661,2016
E92000001,England,Four people,3509,2020
E92000001,England,Four people,3315,2019
E92000001,England,Four people,3286,2018
E92000001,England,Four people,3232,2017
E92000001,England,Four people,3283,2016
E92000001,England,Five people,1047,2020
E92000001,England,Five people,1082,2019
E92000001,England,Five people,1094,2018
E92000001,England,Five people,1108,2017
E92000001,England,Five people,1079,2016
E92000001,England,Six or more People,467,2020
E92000001,England,Six or more People,505,2019
E92000001,England,Six or more People,480,2018
E92000001,England,Six or more People,535,2017
E92000001,England,Six or more People,469,2016
E12000001,North East,One person,386,2020
E12000001,North East,One person,378,2019
E12000001,North East,One person,404,2018
E12000001,North East,One person,336,2017
E12000001,North East,One person,412,2016
